Title,Star Rating,Main Content,Review Date
B&H ALWAYS HAS WHAT YOU NEED AND WANT,Rated 5 out of 5 stars,B&H ALWAYS HAS WHAT YOU NEED AND WANT.  THIS ITEM IS IN ADDITION TO THE CAMERA THAT I PURCHASED FROM THEM.  THANK YOU B&H !!,2024-05-21T01:43:33.000Z
easy to find exactly what was needed!,Rated 5 out of 5 stars,,2024-05-21T01:20:42.000Z
I needed guidance and trouble shooting…,Rated 5 out of 5 stars,"I needed guidance and trouble shooting on portable equipment for outdoor performances. Raul was so very helpful on video call. I really appreciated his patience, knowledge, guidance and that he helped me to focus on what I needed. I went in thinking I needed to upgrade my microphone but he helped me understand that a mixer is a better option. I've placed money in true upgrades to my kit here, where I would have spent it on a piece of equipment that would likely have been an error. I'm truly grateful for his help!",2024-05-21T00:15:28.000Z
Having exactly what I needed,Rated 5 out of 5 stars,Having exactly what I needed when I needed it.,2024-05-21T00:13:41.000Z
The place to buy your audio/video needs,Rated 5 out of 5 stars,Excellent customer service. Fast Shipping. Quality equipment. Reasonably priced.,2024-05-20T23:43:02.000Z
Quick and Easy and B&H always stands by…,Rated 5 out of 5 stars,Quick and Easy and B&H always stands by behind what you buy.,2024-05-20T23:40:09.000Z
Quick and clear ordering.,Rated 5 out of 5 stars,,2024-05-20T23:27:30.000Z
B&H is the best,Rated 5 out of 5 stars,"B&H is the best! Always helpful, nice, and knowledgeable! You guys rock!",2024-05-20T23:13:52.000Z
B&H = Dependable,Rated 5 out of 5 stars,B&H always has what I am looking for  in stock and dependable 2-day shipping without an additional charge.,2024-05-20T23:08:59.000Z
Ease of finding and ordering,Rated 4 out of 5 stars,"Ease of finding and ordering. The only reason I took away one star is because when I visited the store and wanted to purchase a Mamiya RB67, all the light seals were bad and I was not about to pay the asking price as I would have had to spend considerable time and effort to replace them.",2024-05-20T23:05:39.000Z
"Easy, Fast, Great Prices. Better than Amazon",Rated 5 out of 5 stars,"Easy to find the things you need.  The prices are great.  The $ value for free shipping is low enough to qualify for free shipping almost every time.  Shipping is fast.  It's better than Amazon because the prices are very close if not the same.  The search engine doesn't flood you with a bunch of sponsored, knock off junk you don't need like Amazon does.  I love B&H.",2024-05-20T22:18:51.000Z
The video that came on this page was…,Rated 5 out of 5 stars,The video that came on this page was amazing. It answered all my questions!,2024-05-20T22:11:32.000Z
Ease and reliability!,Rated 5 out of 5 stars,,2024-05-20T21:52:49.000Z
Lera is always super helpful and we had…,Rated 5 out of 5 stars,Lera is always super helpful and we had a nice chat about different lighting modifiers and options,2024-05-20T21:29:28.000Z
Easy to do,Rated 5 out of 5 stars,Easy to do. Auto address correction.,2024-05-20T21:11:32.000Z
I'm probably one of your smallest…,Rated 5 out of 5 stars,"I'm probably one of your smallest customers; however, your staff and service have always treated me as though I'm one of your biggest customers. For that, I've been recommending B&H to everyone I know. 'Thank you for many years (more than 25!) of good service!",2024-05-20T21:08:58.000Z
Love B&H,Rated 5 out of 5 stars,Selection & ease of checkout !!!,2024-05-20T20:52:10.000Z
B&H always provides top customer…,Rated 5 out of 5 stars,B&H always provides top customer service.,2024-05-20T20:27:05.000Z
Excellent options,Rated 5 out of 5 stars,Excellent options. I needed large photo paper and B&H gave me good choices.,2024-05-20T19:37:26.000Z
B&H always tried and true,Rated 5 out of 5 stars,easy. great price,2024-05-20T19:17:43.000Z
One of the few dealers who doesn't come…,Rated 5 out of 5 stars,One of the few dealers who doesn't come off as a predator,2024-05-20T19:11:36.000Z
Love shopping at B&H!,Rated 5 out of 5 stars,Love shopping at B&H so much!  Can't believe a purchase made Saturday night near midnight arrived by noon on Monday. Thanks for always providing the best service imaginable!,2024-05-20T19:09:04.000Z
easy to order and great free shipping…,Rated 5 out of 5 stars,easy to order and great free shipping options,2024-05-20T19:02:21.000Z
Best Amazon Alternative,Rated 5 out of 5 stars,I've been buying all my computer and tech stuff from B&H for years now. Completely satisfied every time.,2024-05-20T18:54:52.000Z
Customer Service,Rated 5 out of 5 stars,The customer service rep when I called to get product info before purchase. He directed me to the item needed on the web site.  Very quick and easy.,2024-05-20T18:08:29.000Z
Great website to look at things!,Rated 5 out of 5 stars,,2024-05-20T17:17:07.000Z
Simple to complete,Rated 5 out of 5 stars,THis was fast and convenient. It was what I was looking for.,2024-05-20T16:41:41.000Z
The reviews really helped me decide!,Rated 5 out of 5 stars,,2024-05-20T16:10:49.000Z
Great place to shop and Good Prices,Rated 5 out of 5 stars,Great place to shop and Good Prices,2024-05-20T15:54:31.000Z
easy & fast.,Rated 5 out of 5 stars,easy & fast.,2024-05-20T15:40:07.000Z
Very Fast,Rated 5 out of 5 stars,"Very Fast, efficient and excellent price",2024-05-20T15:36:11.000Z
